case_number,date_time_reported,location_of_occurence,domesticdv_relationship,incident_type,criminal_offense,disposition
202000542,05/09/2020 11:10:00 am,"800 CONLEY AVE , COLUMBIA MO, 65211",NO,PROPERTY DAMAGE,LARCENY - OTHER,ACTIVE
202000540,05/09/2020 03:49:25 am,"1100 S PROVIDENCE RD , COLUMBIA MO, 65203",NO,TRESPASS,TRESPASS,CLEARED BY ARREST
202000539,05/08/2020 10:50:00 pm,"800 RICHMOND AVE/ROLLINS ST , COLUMBIA MO, 65201",NO,WARRANT ARREST,WARRANT ARREST,CLEARED BY ARREST
202000539,05/08/2020 10:50:00 pm,"800 RICHMOND AVE/ROLLINS ST , COLUMBIA MO, 65201",NO,WARRANT ARREST,WARRANT ARREST,CLEARED BY ARREST
202000537,05/07/2020 05:45:00 am,"0 HWY 63 SB/GRINDSTONE , COLUMBIA MO, 65201",NO,DRAWN IN ERROR,DRAWN IN ERROR,UNFOUNDED
202000536,05/06/2020 11:01:00 am,"115 E BUSINESS LOOP 70 , COLUMBIA MO, 65203",NO,OTHER OFFENSE - REPORTABLE,OTHER OFFENSE - REPORTABLE,ACTIVE
202000535,05/05/2020 11:08:00 pm,"1600 CAPEN PARK DR , COLUMBIA MO, 65201",NO  NOT APPLICABLE,DRUG - NARCOTIC,DRUG - NARCOTIC,CLEARED BY ARREST
202000534,05/05/2020 08:26:42 pm,"1199 PAQUIN ST/WAUGH ST , COLUMBIA MO, 65201",NO,TRAFFIC OFFENSE,TRAFFIC OFFENSE,CLEARED BY ARREST
202000533,05/05/2020 12:26:00 am,"1 HOSPITAL DR , COLUMBIA MO, 65201",NO,DRUG - NARCOTIC,DRUG - NARCOTIC,EXCEPTIONALLY CLEARED
202000532,05/04/2020 07:11:33 pm,"1 HOSPITAL DR , COLUMBIA MO, 65201",NO,ASSAULT-SIMPLE,ASSAULT-SIMPLE,ACTIVE
